id;sub_site_name;sub_site_id
1;Meeting Point Retail Denpasar;1
2;Stock Point Retail Denpasar;1
3;Area Marketing Office Denpasar;1
4;Area Retail Office Denpasar;2
5;Area Retail Office Singaraja;3
6;Area Sub Agen Office Denpasar;4
7;Meeting Point Retail Negare;5
8;Pos Marketing Singaraja;6
9;Pos Sub Agen Singaraja;7
10;Regional Office Denpasar;8
11;Area Marketing Office Serang;9
12;Area Marketing Office Tangerang;10
13;Area Retail Office Rangkas Bitung;11
14;Area Retail Office Serang Kota;12
15;Area Retail Office Tangerang Kabupaten;13
16;Area Retail Office Tangerang Kota;14
17;Area Sub Agen Office Serang;15
18;Area Sub Agen Office Tangerang;16
19;Stock Point Retail Labuan;17
20;Stock Point Retail Malingping;18
21;Area Marketing Office Bengkulu;19
22;Area Sales Office Bengkulu;20
23;Area Marketing Office Yogyakarta;21
24;Area Retail Office Yogyakarta;22
25;Area Sub Agen Office Yogyakarta;23
26;Stock Point Retail Wonosari;24
27;Head Office Jakarta;25
28;Area Marketing Office Jakarta Cempaka Putih;26
29;Area Marketing Office Jakarta Cempaka Putih Consumer;27
30;Area Marketing Office Jakarta Cempaka Putih Trade;28
31;Area Marketing Office Jakarta Cengkareng;29
32;Area Marketing Office Jakarta Simatupang;30
33;Area Retail Office Jakarta Cempaka Putih;31
34;Area Retail Office Jakarta Cempaka Putih 1;32
35;Area Retail Office Jakarta Cempaka Putih 2;33
36;Area Retail Office Jakarta Cengkareng;34
37;Area Retail Office Jakarta Simatupang;35
38;Area Sub Agen Office Jakarta Cempaka Putih;36
39;Area Sub Agen Office Jakarta Cempaka Putih 1;37
40;Area Sub Agen Office Jakarta Cengkareng;38
41;Area Sub Agen Office Jakarta Simatupang;39
42;Pos Sub Agen Jakarta Cengkareng;40
43;Regional Office Jakarta;41
44;Area Marketing Office Gorontalo;42
45;Area Sales Office Gorontalo;43
46;Area Marketing Office Jambi;44
47;Area Retail Office Jambi;45
48;Area Sales Office Muara Bungo;46
49;Area Sub Agen Office Jambi;47
50;Pos Marketing Muara Bungo;48
51;Area Marketing Office Bandung City;49
52;Area Marketing Office Bandung Up Country;50
